Domain/IP,Requests
239.255.255.250,4
pop-os,655
ec2-3-233-158-25.compute-1.amazonaws.com,4
relay-5bec465c.net.anydesk.com,13
ec2-34-237-73-95.compute-1.amazonaws.com,14
ec2-3-141-160-135.us-east-2.compute.amazonaws.com,6
1.80.190.35.bc.googleusercontent.com,14
52.111.225.2,2
all-systems.mcast.net,1
52.123.190.193,4
ec2-54-81-24-155.compute-1.amazonaws.com,7
LPZ-190-104-12-00043.tigo.bo,4
ec2-3-233-158-24.compute-1.amazonaws.com,11
igmp.mcast.net,1
cj-in-f188.1e100.net,1
52.97.12.114,1
mdns.mcast.net,1
ec2-3-214-160-189.compute-1.amazonaws.com,1
ec2-34-203-104-26.compute-1.amazonaws.com,1
104.18.32.47,8
52.123.190.209,3
SCZ-200-73-96-00167.tigo.bo,36
172.64.155.209,1
ec2-177-71-250-166.sa-east-1.compute.amazonaws.com,1
gru14s35-in-f14.1e100.net,12
13.107.42.14,15
gru14s28-in-f10.1e100.net,16
ec2-34-223-206-19.us-west-2.compute.amazonaws.com,10
cj-in-f84.1e100.net,96
172.67.5.200,11
249.195.120.34.bc.googleusercontent.com,9
